foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,C.H. Berres Ürziger Würzgarten Riesling Spätlese 2009,0.75,179,238.7,Hvitvin,8,8,0,0,6,Tyskland,Mosel,Øvrige,8.5,71,Weingut C.H. Berres,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282201,
,Antolini Amarone della Valpolicella Classico Cà Coato 2009,0.75,367,489.3,Rødvin,10,6,8,0,0,Italia,Veneto,Valpolicella,17,7,Pier Paolo & Stefano Antolini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282301,
,Antolini Valpolicella Classico 2010,0.75,145,193.3,Rødvin,7,7,4,0,0,Italia,Veneto,Valpolicella,12.5,2,Pier Paolo & Stefano Antolini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282401,
,Cambrago Soave Classico I Cérceni 2009,0.75,167,222.7,Hvitvin,7,7,0,0,2,Italia,Veneto,Soave,12.5,2.5,Casa Vinicola Cambrago,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282501,
,Cambrago Soave Vigne Maiores 2011,0.75,139.9,186.5,Hvitvin,6,7,0,0,2,Italia,Veneto,Soave,12.5,2.4,Casa Vinicola Cambrago,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282601,
,Cambrago Recioto di Soave I Cérceni,0.5,224,448,Hvitvin,8,6,0,0,9,Italia,Veneto,Recioto di Soave,14.5,210,Casa Vinicola Cambrago,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282702,
,Cambrago Soave I Cérceni Spumante Brut,0.75,149.9,199.9,Musserende Vin,5,8,0,0,1,Italia,Veneto,Soave,12,1,Casa Vinicola Cambrago,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9282801,
,Antolini Amarone della Valpolicella Classico Moropio 2009,0.75,299.5,399.3,Rødvin,8,5,7,0,0,Italia,Veneto,Amarone della Valpol,16,6.8,Pier Paolo & Stefano Antolini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9283001,
,Antolini Valpolicella Classico Ripasso 2011,0.75,198,264,Rødvin,7,6,6,0,0,Italia,Veneto,Valpolicella,14.5,6.2,Pier Paolo & Stefano Antolini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9283101,
,Antolini Recioto della Valpolicella Classico 2009,0.5,238.9,477.8,Rødvin,8,6,6,0,0,Italia,Veneto,Recioto di Valpolice,13.5,111.9,Pier Paolo & Stefano Antolini,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9283202,
