foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,Løiten Linie,0.7,399.9,571.3,Akevitt,0,0,0,0,0,Norge,Øvrige,Øvrige,41.5,5,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1101,
,Løiten Linie,0.35,239.9,685.4,Akevitt,0,0,0,0,0,Norge,Øvrige,Øvrige,41.5,5,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1102,
,Gilde Non Plus Ultra,0.7,599.9,857,Akevitt,0,0,0,0,0,Norge,Øvrige,Øvrige,41.5,3,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1201,
,Aalborg Taffel Akvavit,0.7,329.9,471.3,Akevitt,0,0,0,0,0,Danmark,Øvrige,,45,Ukjent,V&S Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1301,
,Aalborg Taffel Akvavit,0.35,219.9,628.3,Akevitt,0,0,0,0,0,Danmark,Øvrige,,45,Ukjent,V&S Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1302,
,Løiten Export,0.5,274.9,549.8,Akevitt,0,0,0,0,0,Norge,Øvrige,Øvrige,40,8,,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1502,
,Bommerlunder,0.7,319.9,457,Akevitt,0,0,0,0,0,Tyskland,Øvrige,Øvrige,38,Ukjent,Berentzen Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1801,
,Graham's Late Bottled Vintage 2008,0.75,199.9,266.5,Portvin,9,8,0,0,9,Portugal,Douro,Øvrige,20,101.5,W&J Graham,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2001,
,Graham's Late Bottled Vintage 2008,0.38,115,306.7,Portvin,8,8,0,0,8,Portugal,Douro,Øvrige,20,101.5,W&J Graham,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2002,
,Brennevin Seksti,0.7,424.9,607,Vodka,0,0,0,0,0,Norge,Øvrige,Øvrige,60,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2401,
,Hammer,0.7,309.9,442.7,Vodka,0,0,0,0,0,Norge,Øvrige,Øvrige,42.7,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3501,
,Hammer,0.35,184.9,528.3,Vodka,0,0,0,0,0,Norge,Øvrige,Øvrige,42.7,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3502,
,Finlandia,0.7,304.9,435.6,Vodka,0,0,0,0,0,Finland,Øvrige,Øvrige,37.5,Ukjent,Altia Corp.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3801,
,Finlandia,0.05,59,1180.1,Vodka,0,0,0,0,0,Finland,Øvrige,Øvrige,40,Ukjent,Altia Corp.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3803,
,Absolut Vodka,0.7,304.9,435.6,Vodka,0,0,0,0,0,Sverige,Øvrige,Øvrige,40,Ukjent,The Absolut Company,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3901,
,Absolut Vodka,0.35,179.9,514,Vodka,0,0,0,0,0,Sverige,Øvrige,Øvrige,40,Ukjent,The Absolut Company,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3902,
,Hammer Lime,0.7,309.9,442.7,Vodka,0,0,0,0,0,Norge,Øvrige,Øvrige,42.7,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4401,
,Absolut Citron,0.7,324.9,464.1,Vodka,0,0,0,0,0,Sverige,Øvrige,Øvrige,40,Ukjent,The Absolut Company,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4801,
,Bonaparte V.S.O.P.,0.7,429.9,614.1,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5201,
,Bache-Gabrielsen 3 kors,0.7,369.9,528.4,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Bache-Gabrielsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5401,
,Bache-Gabrielsen 3 kors,0.35,209.9,599.7,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Bache-Gabrielsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5402,
,Bache-Gabrielsen 3 kors,0.2,154.9,774.5,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Bache-Gabrielsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5404,
,Renault Carte Noire Extra Old,0.7,549.9,785.6,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,,40,Ukjent,Renault,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5701,
,Baron Otard V.S.O.P. Fine Champagne,0.7,514.9,735.6,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Ch. de Cognac,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6201,
,Baron Otard V.S.O.P. Fine Champagne,0.35,284.9,814,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Ch. de Cognac,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6202,
,Hennessy Very Special,0.7,399.9,571.3,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6301,
,Hennessy Very Special,0.35,229.9,656.9,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6302,
,Larsen Very Special Vikings',0.7,389.9,557,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12,Larsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6501,
,Larsen Very Special Vikings',0.35,229.9,656.9,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12,Larsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6502,
,Larsen Viking Ship Fine Champagne,0.7,1049.9,1499.9,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12,Larsen,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6601,
,Ch. Fontpinot,0.7,799,1141.4,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Brut,Grande Champagne,41,Ukjent,Frapin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6801,
,Hennessy X.O.,0.7,1249.9,1785.6,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,5,Hennessy,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6901,
,Hennessy X.O.,0.35,669.9,1914,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,5,Hennessy,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6902,
,Courvoisier V.S.,0.7,379.9,542.7,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,Ukjent,Courvoisier,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7001,
,De Luze V.S.,0.7,359.9,514.1,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12.6,De Luze,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7101,
,De Luze V.S.,0.35,199.9,571.2,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12.6,De Luze,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7102,
,De Luze V.S.,0.05,49.9,998,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,12.6,De Luze,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7103,
,Martell V.S.,0.7,399.9,571.3,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,6,Martell,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7501,
,Martell V.S.,0.35,229,654.3,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,6,Martell,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7502,
,Rémy Martin V.S.O.P. Fine Champagne,0.7,525,750,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,10,Rémy Martin,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7701,
,Hennessy V.S.O.P.,0.7,514.9,735.6,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,4.9,Hennessy,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7901,
,Martell Medaillon V.S.O.P.,0.7,495,707.1,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,5.5,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8001,
,Martell Cordon Bleu,0.7,924,1320,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Øvrige,40,8,Martell,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8801,
,Metaxa *****,0.7,355,507.1,Druebrennevin,0,0,0,0,0,Hellas,Øvrige,Øvrige,38,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-10701,
,Bell's Original,0.7,329.9,471.3,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.2,Bell's Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12001,
,Bell's Original,0.35,181.9,519.7,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.2,Bell's Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12002,
,Peter Dawson Special,0.7,299.9,428.4,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.1,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12101,
,Peter Dawson Special,0.35,164.9,471.2,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.1,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12102,
,Inverness Cream,0.7,299.9,428.4,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12201,
,Inverness Cream,0.35,164.9,471.1,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12202,
,The Famous Grouse,0.7,359.9,514.1,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Highland Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12401,
,The Famous Grouse,0.35,199.9,571.1,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Highland Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12402,
,The Famous Grouse,0.05,47.9,958,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Highland Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12403,
,Highland Park Single Malt 12 Years Old,0.7,499.9,714.1,Whisky,0,0,0,0,0,Skottland,Orkney Island,Øvrige,40,Ukjent,Highland Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12701,
,The Glenlivet Single Malt 12 Years Old,0.7,449.5,642.1,Whisky,0,0,0,0,0,Skottland,Speyside,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12901,
,Ballantine's Finest,0.7,354.9,507,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13601,
,Ballantine's Finest,0.35,204.9,585.4,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13602,
,Cutty Sark,0.7,319.9,457,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Berry Bros. & Rudd,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13901,
,Grant's Family Reserve,0.7,349.9,499.9,Whisky,0,0,0,0,0,Skottland,Speyside,Øvrige,40,Ukjent,William Grant & Sons,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14201,
,Frangelico,0.7,224.5,320.7,Likør under 22 %,0,0,0,0,0,Italia,Øvrige,Øvrige,20,Ukjent,Giorgio Barbero,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14401,
,Johnnie Walker Red Label,0.7,349.9,499.9,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.2,United Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14501,
,Jack Daniel's Tennessee,0.7,389.9,557,Whisky,0,0,0,0,0,USA,Tennessee,Øvrige,40,Ukjent,Brown-Forman,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14601,
,Jack Daniel's Tennessee,0.35,223.9,639.7,Whisky,0,0,0,0,0,USA,Tennessee,Øvrige,40,Ukjent,Brown-Forman,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14602,
,Jack Daniel's Tennessee,3,1619.9,540,Whisky,0,0,0,0,0,USA,Tennessee,Øvrige,40,Ukjent,Brown-Forman,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14607,
,Long John,0.7,335,478.6,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14701,
,Teacher's Highland Cream,0.7,325,464.3,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15001,
,J & B Rare,0.7,329.9,471.3,Whisky,0,0,0,0,0,Skottland,Øvrige,,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15301,
,Johnnie Walker Black Label,0.7,439.9,628.4,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,0.3,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15901,
,Chivas Regal 12 Years Old,0.7,464,662.9,Whisky,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16101,
,Jameson,0.7,369.9,528.4,Whisky,0,0,0,0,0,Irland,Øvrige,Øvrige,40,Ukjent,Irish Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16201,
,Jameson,0.35,199.9,571.2,Whisky,0,0,0,0,0,Irland,Øvrige,Øvrige,40,Ukjent,Irish Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16202,
,Jameson,4.5,2300,511.1,Whisky,0,0,0,0,0,Irland,Øvrige,Øvrige,40,Ukjent,Irish Dist.,Glassflaske over eller lik 4 ltr,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16207,
,Four Roses Bourbon,0.7,349.9,499.9,Whisky,0,0,0,0,0,USA,Øvrige,Øvrige,40,Ukjent,Four Roses Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16501,
,Jim Beam Kentucky,0.7,349.9,499.9,Whisky,0,0,0,0,0,USA,Øvrige,,40,Ukjent,JBB,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16601,
,Canadian Club,0.7,345,492.9,Whisky,0,0,0,0,0,Canada,Øvrige,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17001,
,Bokma Oude Friesche,0.5,245,490,Genever,0,0,0,0,0,Nederland,Øvrige,,38,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17702,
,Galliano,0.7,329.9,471.3,Likør,0,0,0,0,0,Italia,Øvrige,Øvrige,30,230,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18601,
,Galliano,0.35,179.9,514,Likør,0,0,0,0,0,Italia,Øvrige,Øvrige,30,230,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18602,
,Beefeater London Dry,0.7,334.9,478.4,Gin,0,0,0,0,0,England,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18701,
,Beefeater London Dry,0.35,184.9,528.3,Gin,0,0,0,0,0,England,Øvrige,Øvrige,40,Ukjent,Chivas Brothers,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18702,
,Gordon's Special London Dry Gin,0.7,319.9,457,Gin,0,0,0,0,0,England,Øvrige,Øvrige,37.5,Ukjent,Gordon's Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19001,
,Gordon's Special London Dry Gin,0.35,189.9,542.6,Gin,0,0,0,0,0,England,Øvrige,Øvrige,37.5,Ukjent,Gordon's Dist.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19002,
,Angostura,0.2,189.9,949.5,Bitter,0,0,0,0,0,"Trinidad,Tobago",Øvrige,Øvrige,44.7,Ukjent,Angostura,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19604,
,Gammel Dansk Bitter Dram,0.7,389.9,557,Bitter,0,0,0,0,0,Danmark,Øvrige,Øvrige,38,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19701,
,Gammel Dansk Bitter Dram,0.35,204.9,585.4,Bitter,0,0,0,0,0,Danmark,Øvrige,Øvrige,38,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19702,
,Jägermeister,0.7,379.9,542.7,Bitter,0,0,0,0,0,Tyskland,Øvrige,Øvrige,35,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20001,
,Jägermeister,0.35,199.9,571.1,Bitter,0,0,0,0,0,Tyskland,Øvrige,Øvrige,35,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20002,
,Jägermeister,0.1,79.9,799,Bitter,0,0,0,0,0,Tyskland,Øvrige,Øvrige,35,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20003,
,Cuervo Especial Reposado Tequila,0.7,354.9,507,Fruktbrennevin,0,0,0,0,0,Mexico,Øvrige,Øvrige,38,Ukjent,José Cuervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20901,
,Martini Rosso,1,196.9,196.9,Vermut,0,0,0,0,0,Italia,Øvrige,Øvrige,15,153,Martini & Rossi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21601,
,Martini Rosso,0.5,109.9,219.8,Vermut,0,0,0,0,0,Italia,Øvrige,Øvrige,15,153,Martini & Rossi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21602,
,Martini Bianco,1,196.9,196.9,Vermut,0,0,0,0,0,Italia,Øvrige,Øvrige,15,168,Martini & Rossi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21701,
,Martini Bianco,0.5,109.9,219.8,Vermut,0,0,0,0,0,Italia,Øvrige,Øvrige,15,168,Martini & Rossi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21702,
,Martini Extra Dry,1,196.9,196.9,Vermut,5,0,0,0,3,Italia,Øvrige,Øvrige,15,26,Martini & Rossi,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23201,
,Curaçao Napoléon Liqueur à l'Orange,0.7,299.9,428.4,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,280,Cazanove,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23801,
,Cointreau,0.7,399,570,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,234,Cointreau,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24101,
,Cointreau,0.35,209.9,599.7,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,234,Cointreau,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24102,
,Cointreau,0.05,48,960.1,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,234,Cointreau,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24103,
,Dubonnet,0.75,154.9,206.5,Aromatisert Svakvin og annen blandet dri,0,0,0,0,0,Frankrike,Øvrige,Øvrige,14.8,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24201,
,D. O. M. Bénédictine,0.7,429.9,614.1,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,330,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24401,
,Grand Marnier Cordon Rouge,0.7,399.9,571.3,Likør,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,235,Marnier-Lapostolle,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24601,
,Bols Banana,0.5,195,390,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,17,380,Bols Int.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24702,
,Bols Advocaat,0.7,185,264.3,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,15,246,Bols Int.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25001,
,Bols Advocaat,0.5,145,290,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,15,246,Bols Int.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25002,
,Warninks Advocaat,0.7,189.9,271.3,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,17.2,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25101,
,Warninks Advocaat,0.35,113.9,325.4,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,17.2,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25102,
,Original Peachtree,0.7,226,322.9,Øvrig Brennevin under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,20,289,De Kuyper,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25201,
,Pisang Ambon,0.7,225,321.4,Likør under 22 %,0,0,0,0,0,Nederland,Øvrige,Øvrige,20,325,Bols Int.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25801,
,Drambuie,0.7,399.9,571.3,Likør,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,350,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25901,
,Drambuie,0.35,219.9,628.3,Likør,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,350,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25902,
,Drambuie,0.05,47.9,957.9,Likør,0,0,0,0,0,Skottland,Øvrige,Øvrige,40,350,,PET,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25903,
,Frost,0.7,224.9,321.3,Øvrig Brennevin under 22 %,0,0,0,0,0,Norge,Øvrige,Øvrige,20.5,175,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-26201,
,Jose Cuervo Especial Silver,0.7,344.9,492.7,Fruktbrennevin,0,0,0,0,0,Mexico,Øvrige,,38,Ukjent,José Cuervo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27201,
,"Pernod, Anis Spirit",0.7,345,492.9,Øvrig Brennevin,0,0,0,0,0,Frankrike,Øvrige,Øvrige,40,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27401,
,Père Magloire V.S.O.P.,0.7,409.9,585.6,Fruktbrennevin,0,0,0,0,0,Frankrike,Calvados,Pays d'Auge,40,Ukjent,Père Magloire,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27501,
,Robertson's Tawny,0.75,161.9,215.9,Portvin,8,7,0,0,7,Portugal,Douro,Øvrige,19.5,Ukjent,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27601,
,Kopke Fine Ruby,0.75,174.9,233.2,Portvin,7,7,0,0,7,Portugal,Douro,Øvrige,19.5,90.2,,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-28101,
,Sandeman Fine Tawny,0.75,169.9,226.5,Portvin,7,7,0,0,8,Portugal,Douro,Øvrige,19.5,100,Sandeman,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-28701,
,Luxardo Sambuca dei Cesari,0.7,323.7,462.4,Likør,0,0,0,0,0,Italia,Øvrige,Øvrige,38,380,Girolamo Luxardo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29101,
,Luxardo Sambuca dei Cesari,0.5,230,460,Likør,0,0,0,0,0,Italia,Øvrige,Øvrige,38,380,Girolamo Luxardo,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29102,
