productId;producerId;
129101;moutard;
129201;ruffino;
129301;bindella;
129401;fairview;
129501;champagnepenetchardonnet;
129601;champagnepenetchardonnet;
129701;champagnepenetchardonnet;
130001;casaferreirinha;
130101;alexandrebonnet;
130205;casaferreirinha;
130301;bodjoaquinfernandez;
130401;bodjoaquinfernandez;
130601;bodjoaquinfernandez;
130901;poddeibricchiastigiani;
131507;fattcolmonedellamarca;
131601;domsaintnicolas;
131701;domsaintnicolas;
132501;andrjacquartfils;
132601;andrjacquartfils;
132701;domducoulet;
132801;andrjacquartfils;
132901;arcaniasrl;
133201;domdelacadette;
133301;domdechassorney;
133601;cantvolpi;
133701;cantvolpi;
133901;domsaintnicolas;
134202;jeanfillioux;
134301;jeanfillioux;
134502;ragnaudsabourin;
134602;jnormandinmercier;
135801;dompatricerion;
135901;dompatricerion;
136801;domjosephdrouhin;
137201;uninvitivinicola;
137202;uninvitivinicola;
137205;uninvitivinicola;
137801;donatellacinellicolombini;
137901;antichivigndicantalupo;
138001;massolino;
138801;vinhosmessias;
138901;santagloria;
139301;bodfaustino;
139302;bodfaustino;
140201;domsaintecroix;
140601;weingvonwinning;
140701;gjgreenall;
140805;lacantinapizzolato;
140901;lacantinapizzolato;
141102;bachegabrielsen;
142305;albinoarmani;
142406;tensetteponti;
142801;pierreandr;
142901;domrobertampeau;
143301;canardduchne;
143401;canardduchne;
143601;canardduchne;
143701;canardduchne;
143801;canardduchne;
143805;canardduchne;
144001;adelphidist;
144101;adelphidist;
144301;adelphidist;
144801;thebenriachdistillerycoltd;
144901;jeanyvesdevevey;
145001;famillevalleintercinier;
145101;famillevalleintercinier;
145801;weingjohannishof;
146101;weingjohannishof;
146201;weingjohannishof;
146701;mongegranon;
146801;cavelavinsobraise;
146901;cavelavinsobraise;
147001;weingleitz;
147401;christiansimon;
147501;christiansimon;
147601;marqderiscal;
148201;coessens;
148301;benjaminleroux;
148401;lucianosandrone;
148501;denbornholmskespritfabrik;
148606;cantriondo;
148701;distbottega;
148801;fattpoggioantico;
149001;lilbertfils;
149101;chlangoabarton;
149201;isabelleetdenispommier;
149301;fattpoggioantico;
149401;karuizawadistillery;
150101;chichibudistillery;
150201;johnbstetsonspirits;
150301;balconesdistillery;
150401;balconesdistillery;
150501;balconesdistillery;
150802;boulevardbrewingco;
150902;boulevardbrewingco;
151001;boulevardbrewingco;
151101;boulevardbrewingco;
151201;boulevardbrewingco;
151301;orlandowines;
151302;orlandowines;
151402;nikkawhiskydist;
151601;domrobertvic;
152101;despagne;
152201;chlecrock;
152601;domjosephdrouhin;
153302;gessleretfils;
153901;escapadewinery;
155201;mainerdofllisnc;
155301;picchapoutier;
155401;chandrakurt;
155501;chandrakurt;
155601;picchapoutier;
155701;picchapoutier;
155901;chbranaireducru;
156001;chlatourmartillac;
156201;soerlie;
156202;soerlie;
156401;ravenswoodwinery;
156801;ravenswoodwinery;
156901;agderbrennerikgpuntervo;
157001;agderbrennerikgpuntervo;
157101;gotlandsbryggeri;
157301;chlafleur;
157602;klostereberbach;
157901;klostereberbach;
158001;agderbrennerikgpuntervo;
158301;chgrandpuylacoste;
158401;glengyledist;
158601;boffacarlo;
158701;boffacarlo;
158801;boffacarlo;
158901;patrickbaudouin;
160102;gwyntyddraig;
160301;guthermannsberg;
160401;guthermannsberg;
