abv;
41.50;
45.00;
40.00;
38.00;
20.00;
60.00;
42.70;
37.50;
41.00;
30.00;
44.70;
35.00;
15.00;
14.80;
17.00;
17.20;
20.50;
19.50;
17.50;
21.00;
13.50;
14.50;
13.00;
12.50;
12.00;
8.50;
11.50;
11.00;
10.00;
9.00;
7.50;
43.00;
39.00;
44.50;
0.00;
14.00;
46.80;
13.20;
5.50;
7.00;
6.50;
12.20;
42.00;
46.00;
10.50;
55.30;
57.20;
58.80;
47.00;
16.50;
59.50;
52.20;
53.20;
50.20;
5.40;
6.00;
38.50;
9.50;
8.00;
5.30;
5.90;
18.00;
50.00;
15.50;
5.00;
45.80;
16.00;
14.20;
48.00;
12.60;
8.60;
5.70;
4.80;
7.20;
9.40;
9.20;
13.90;
5.80;
7.30;
5.20;
5.60;
8.70;
55.10;
57.10;
53.50;
58.90;
11.90;
12.70;
45.90;
55.00;
56.10;
42.40;
41.20;
47.30;
51.60;
6.60;
50.50;
36.00;
51.20;
53.60;
57.90;
58.20;
22.00;
6.40;
4.90;
6.30;
49.00;
0.50;
56.00;
48.80;
55.50;
50.40;
29.00;
51.70;
53.10;
9.70;
7.60;
6.70;
12.40;
29.90;
40.50;
12.10;
56.30;
58.60;
49.30;
12.80;
7.10;
8.80;
7.40;
11.70;
14.60;
32.00;
24.00;
57.80;
28.00;
11.30;
12.90;
56.50;
53.30;
48.20;
49.60;
59.00;
43.70;
40.90;
44.90;
57.50;
47.80;
59.40;
6.20;
43.20;
25.00;
31.00;
52.50;
48.30;
53.00;
56.40;
57.00;
26.00;
58.40;
10.10;
13.40;
19.00;
13.10;
10.90;
6.80;
54.00;
41.90;
48.40;
59.10;
21.50;
7.80;
6.10;
6.90;
15.10;
46.10;
59.20;
59.30;
48.90;
56.90;
54.90;
15.70;
14.90;
15.20;
39.50;
8.20;
13.80;
44.00;
54.50;
14.70;
5.10;
42.50;
41.80;
14.67;
53.70;
54.70;
50.30;
18.50;
49.50;
49.20;
43.50;
27.00;
43.10;
53.80;
36.50;
11.80;
44.10;
53.90;
48.70;
16.40;
13.30;
51.50;
44.80;
50.10;
55.20;
14.10;
51.10;
13.70;
47.40;
58.00;
56.80;
50.60;
56.60;
12.30;
49.90;
42.90;
47.10;
56.70;
52.70;
52.90;
52.30;
51.40;
48.10;
59.60;
13.60;
16.70;
9.90;
11.10;
9.60;
55.80;
9.80;
10.30;
10.60;
8.40;
45.20;
55.70;
53.40;
7.70;
51.80;
54.20;
58.50;
54.40;
52.40;
7.90;
46.30;
14.40;
21.90;
23.00;
8.10;
37.00;
41.40;
54.80;
55.90;
45.70;
42.30;
14.30;
8.30;
47.50;
33.00;
10.40;
42.80;
41.60;
21.95;
48.60;
42.10;
44.20;
