productId;abv;
1101;41.50;
1102;41.50;
1201;41.50;
1301;45.00;
1302;45.00;
1502;40.00;
1801;38.00;
2001;20.00;
2002;20.00;
2401;60.00;
3501;42.70;
3502;42.70;
3801;37.50;
3803;40.00;
3901;40.00;
3902;40.00;
4401;42.70;
4801;40.00;
5201;40.00;
5401;40.00;
5402;40.00;
5404;40.00;
5701;40.00;
6201;40.00;
6202;40.00;
6301;40.00;
6302;40.00;
6501;40.00;
6502;40.00;
6601;40.00;
6801;41.00;
6901;40.00;
6902;40.00;
7001;40.00;
7101;40.00;
7102;40.00;
7103;40.00;
7501;40.00;
7502;40.00;
7701;40.00;
7901;40.00;
8001;40.00;
8801;40.00;
10701;38.00;
12001;40.00;
12002;40.00;
12101;40.00;
12102;40.00;
12201;40.00;
12202;40.00;
12401;40.00;
12402;40.00;
12403;40.00;
12701;40.00;
12901;40.00;
13601;40.00;
13602;40.00;
13901;40.00;
14201;40.00;
14401;20.00;
14501;40.00;
14601;40.00;
14602;40.00;
14607;40.00;
14701;40.00;
15001;40.00;
15301;40.00;
15901;40.00;
16101;40.00;
16201;40.00;
16202;40.00;
16207;40.00;
16501;40.00;
16601;40.00;
17001;40.00;
17702;38.00;
18601;30.00;
18602;30.00;
18701;40.00;
18702;40.00;
19001;37.50;
19002;37.50;
19604;44.70;
19701;38.00;
19702;38.00;
20001;35.00;
20002;35.00;
20003;35.00;
20901;38.00;
21601;15.00;
21602;15.00;
21701;15.00;
21702;15.00;
23201;15.00;
23801;40.00;
24101;40.00;
24102;40.00;
24103;40.00;
24201;14.80;
24401;40.00;
24601;40.00;
24702;17.00;
25001;15.00;
25002;15.00;
25101;17.20;
25102;17.20;
25201;20.00;
25801;20.00;
25901;40.00;
25902;40.00;
25903;40.00;
26201;20.50;
27201;38.00;
27401;40.00;
27501;40.00;
27601;19.50;
28101;19.50;
28701;19.50;
29101;38.00;
29102;38.00;
29103;38.00;
29104;38.00;
29107;38.00;
29501;20.50;
35201;15.00;
35301;15.00;
35501;15.00;
35601;17.50;
36001;15.00;
36002;15.00;
36201;17.50;
36202;17.50;
37203;21.00;
59101;13.50;
63701;13.50;
65101;14.50;
65102;13.50;
65104;13.00;
66001;12.50;
66002;12.50;
67001;13.00;
67002;13.00;
67005;13.00;
67006;13.00;
67801;13.50;
67901;13.50;
67902;13.50;
68501;13.50;
68502;13.50;
68801;13.00;
69901;13.00;
69902;13.00;
69905;13.00;
71501;12.00;
74101;13.00;
74102;13.50;
74301;12.50;
74302;12.50;
74601;12.00;
77001;8.50;
79101;8.50;
79106;8.50;
82601;12.00;
83001;12.50;
83002;12.50;
83301;11.50;
83501;11.00;
83502;11.50;
83601;12.50;
83901;8.50;
83904;8.50;
85101;13.50;
85102;13.00;
85501;12.50;
85701;10.00;
85702;10.00;
85901;10.00;
86101;11.50;
86801;11.50;
87901;12.00;
87902;12.00;
87905;12.00;
87907;12.00;
88101;12.00;
88102;12.00;
88105;12.00;
88107;12.00;
88201;12.00;
88202;12.00;
88801;12.50;
88802;12.50;
89101;12.50;
89102;12.50;
89105;12.50;
89501;12.00;
89502;12.00;
89504;12.00;
89505;12.00;
89507;12.00;
90006;11.50;
90101;12.50;
90201;12.00;
90601;11.50;
90602;11.50;
90801;9.00;
91001;11.00;
91501;7.50;
91502;7.50;
91505;7.50;
91507;7.50;
91801;12.50;
92901;11.50;
92902;11.50;
92904;11.50;
93201;11.50;
93202;11.50;
93204;11.50;
94101;12.00;
94401;12.00;
94402;12.00;
94404;12.00;
94405;12.00;
94601;12.00;
94602;12.00;
94605;12.00;
94607;12.00;
98601;11.50;
101301;13.00;
101501;13.00;
101701;12.50;
101901;11.50;
103101;35.00;
103301;43.00;
103401;40.00;
103801;13.00;
104001;12.50;
104201;13.50;
105301;13.50;
105601;13.00;
106102;39.00;
106202;15.00;
106308;44.50;
106401;13.50;
106501;0.00;
106601;12.00;
106801;14.00;
106806;14.00;
108205;13.00;
108305;13.00;
108401;35.00;
108606;12.00;
108701;40.00;
108801;45.00;
109306;0.00;
109401;0.00;
109501;12.50;
109601;13.50;
109606;13.50;
109701;13.50;
109901;0.00;
110101;0.00;
110302;40.00;
110606;13.00;
110801;13.50;
112201;13.50;
112301;12.50;
112402;46.80;
112508;11.00;
113601;12.00;
113901;14.50;
114101;13.50;
114201;14.50;
114301;13.50;
114701;12.50;
114801;13.00;
114901;40.00;
115001;13.50;
115301;14.00;
115401;14.00;
115501;13.20;
116202;10.00;
116301;14.50;
116502;0.00;
116601;12.00;
117101;13.00;
117202;12.00;
117301;13.50;
117401;13.50;
117501;13.00;
117601;14.00;
117701;13.50;
117802;17.50;
117901;5.50;
118001;13.50;
118102;38.00;
118401;12.00;
118501;12.00;
118505;12.00;
118605;12.50;
119001;12.50;
119105;12.50;
120801;12.50;
124001;11.50;
124101;13.00;
124201;13.00;
124606;14.00;
124701;14.50;
124801;13.00;
124901;13.00;
125101;13.00;
125201;14.50;
125301;12.00;
125601;7.00;
125701;13.00;
125806;13.00;
125901;6.50;
125904;6.50;
126301;20.00;
126501;14.00;
126601;14.00;
126801;13.50;
127201;13.00;
127401;12.00;
127506;13.00;
127601;12.50;
127701;13.50;
128101;12.50;
128201;13.00;
128306;12.50;
128501;13.00;
128602;20.00;
128702;20.00;
128901;13.50;
129101;12.00;
129201;13.50;
129301;13.00;
129401;14.00;
129501;12.20;
129601;12.00;
129701;12.20;
130001;13.50;
130101;12.50;
130205;13.00;
130301;13.50;
130401;13.00;
130601;13.00;
130901;14.00;
131507;13.00;
131601;12.50;
131701;13.00;
132501;12.00;
132601;12.00;
132701;13.50;
132801;12.00;
132901;12.50;
133201;12.50;
133301;13.50;
133601;13.00;
133701;12.00;
133901;12.00;
134202;42.00;
134301;41.00;
134502;41.00;
134602;46.00;
135801;13.00;
135901;13.00;
136801;13.00;
137201;13.50;
137202;13.50;
137205;13.50;
137801;14.00;
137901;13.00;
138001;14.50;
138801;12.50;
138901;13.00;
139301;13.00;
139302;13.00;
140201;14.00;
140601;13.50;
140701;40.00;
140805;10.50;
140901;11.00;
141102;40.00;
142305;11.00;
142406;13.50;
142801;14.50;
142901;13.50;
143301;12.00;
143401;12.00;
143601;12.00;
143701;12.00;
143801;12.00;
143805;12.00;
144001;55.30;
144101;57.20;
144301;58.80;
144801;46.00;
144901;13.00;
145001;47.00;
145101;47.00;
145801;12.00;
146101;10.50;
146201;11.50;
146701;11.50;
146801;14.50;
146901;14.50;
147001;13.00;
147401;12.00;
147501;12.50;
147601;13.50;
148201;12.00;
148301;13.00;
148401;13.50;
148501;42.00;
148606;12.50;
148701;16.50;
148801;13.50;
149001;12.00;
149101;12.50;
149201;12.50;
149301;14.00;
149401;46.00;
150101;59.50;
150201;42.00;
150301;52.20;
150401;53.20;
150501;50.20;
150802;5.40;
150902;6.00;
151001;8.50;
151101;10.50;
151201;8.50;
151301;13.50;
151302;13.50;
151402;45.00;
151601;12.50;
152101;13.00;
152201;14.00;
152601;13.00;
153302;12.00;
153901;14.00;
155201;13.50;
155301;14.00;
155401;13.00;
155501;13.50;
155601;13.00;
155701;14.00;
155901;13.00;
156001;14.00;
156201;40.00;
156202;40.00;
156401;15.00;
156801;15.00;
156901;40.00;
157001;40.00;
157101;38.50;
157301;14.50;
157602;9.50;
157901;8.00;
158001;40.00;
158301;13.50;
158401;46.00;
158601;14.00;
158701;14.00;
158801;13.50;
158901;12.50;
160102;5.30;
160301;12.50;
160401;8.00;
161701;12.00;
161801;13.50;
162201;12.50;
162301;12.00;
162502;5.90;
162602;10.00;
162701;20.00;
163601;0.00;
163801;13.00;
163902;12.00;
164101;18.00;
164901;12.50;
165002;13.50;
165101;40.00;
165102;40.00;
165602;14.00;
165801;13.00;
165901;50.00;
165902;50.00;
166001;14.00;
166301;14.00;
166401;12.50;
166601;14.50;
166701;14.00;
166801;12.00;
167107;14.00;
167201;12.50;
167502;43.00;
167602;42.00;
167901;15.00;
168001;13.50;
168102;40.00;
168402;20.50;
168801;13.50;
169401;13.50;
169501;13.50;
169601;14.00;
169901;14.50;
170001;12.00;
170101;14.00;
170301;14.50;
170401;13.50;
170501;13.50;
170502;13.50;
170505;13.50;
170601;13.50;
170801;13.00;
170905;13.50;
172201;12.00;
172401;13.50;
172501;12.00;
172601;13.50;
172701;13.50;
172801;13.50;
173001;14.00;
173101;14.50;
173201;14.50;
173301;14.50;
173401;12.50;
173501;13.00;
173601;13.50;
173701;15.50;
174001;11.50;
174201;12.50;
174301;12.50;
174401;13.00;
174502;11.50;
174702;12.50;
174901;13.50;
175101;11.50;
175201;5.00;
175301;12.00;
175601;13.50;
175701;45.80;
176101;14.00;
177005;12.50;
177101;14.00;
177205;13.00;
177302;16.00;
177401;14.00;
