productId;packagingId;
92904;engangsflaskeravglass;
93201;engangsflaskeravglass;
93202;engangsflaskeravglass;
93204;engangsflaskeravglass;
94101;engangsflaskeravglass;
94401;engangsflaskeravglass;
94402;engangsflaskeravglass;
94404;engangsflaskeravglass;
94405;engangsflaskeravglass;
94601;engangsflaskeravglass;
94602;engangsflaskeravglass;
94605;engangsflaskeravglass;
94607;engangsflaskeravglass;
98601;engangsflaskeravglass;
101301;engangsflaskeravglass;
101501;engangsflaskeravglass;
101701;engangsflaskeravglass;
101901;engangsflaskeravglass;
103101;engangsflaskeravglass;
103301;engangsflaskeravglass;
103401;engangsflaskeravglass;
103801;engangsflaskeravglass;
104001;engangsflaskeravglass;
104201;engangsflaskeravglass;
105301;engangsflaskeravglass;
105601;engangsflaskeravglass;
106102;engangsflaskeravglass;
106202;engangsflaskeravglass;
106308;flerforpakningavglass;
106401;engangsflaskeravglass;
106501;engangsflaskeravglass;
106601;engangsflaskeravglass;
106801;engangsflaskeravglass;
106806;bibunder4ltr;
108205;engangsflaskeravglass;
108305;engangsflaskeravglass;
108401;engangsflaskeravglass;
108606;bibunder4ltr;
108701;engangsflaskeravglass;
108801;engangsflaskeravglass;
109306;bibunder4ltr;
109401;engangsflaskeravglass;
109501;engangsflaskeravglass;
109601;engangsflaskeravglass;
109606;bibunder4ltr;
109701;engangsflaskeravglass;
109901;engangsflaskeravglass;
110101;engangsflaskeravglass;
110302;engangsflaskeravglass;
110606;bibunder4ltr;
110801;engangsflaskeravglass;
112201;engangsflaskeravglass;
112301;engangsflaskeravglass;
112402;engangsflaskeravglass;
112508;flerforpakningavglass;
113601;engangsflaskeravglass;
113901;engangsflaskeravglass;
114101;engangsflaskeravglass;
114201;engangsflaskeravglass;
114301;engangsflaskeravglass;
114701;engangsflaskeravglass;
114801;engangsflaskeravglass;
114901;engangsflaskeravglass;
115001;engangsflaskeravglass;
115301;engangsflaskeravglass;
115401;engangsflaskeravglass;
115501;engangsflaskeravglass;
116202;engangsflaskeravglass;
116301;engangsflaskeravglass;
116502;engangsflaskeravglass;
116601;engangsflaskeravglass;
117101;engangsflaskeravglass;
117202;engangsflaskeravglass;
117301;engangsflaskeravglass;
117401;engangsflaskeravglass;
117501;engangsflaskeravglass;
117601;engangsflaskeravglass;
117701;engangsflaskeravglass;
117802;engangsflaskeravglass;
117901;engangsflaskeravglass;
118001;engangsflaskeravglass;
118102;engangsflaskeravglass;
118401;engangsflaskeravglass;
118501;engangsflaskeravglass;
118505;engangsflaskeravglass;
118605;engangsflaskeravglass;
119001;engangsflaskeravglass;
119105;engangsflaskeravglass;
120801;engangsflaskeravglass;
124001;engangsflaskeravglass;
124101;engangsflaskeravglass;
124201;engangsflaskeravglass;
124606;bibunder4ltr;
124701;engangsflaskeravglass;
124801;engangsflaskeravglass;
124901;engangsflaskeravglass;
125101;engangsflaskeravglass;
125201;engangsflaskeravglass;
125301;engangsflaskeravglass;
125601;engangsflaskeravglass;
125701;engangsflaskeravglass;
125806;bibunder4ltr;
125901;engangsflaskeravglass;
125904;engangsflaskeravglass;
126301;engangsflaskeravglass;
126501;engangsflaskeravglass;
126601;engangsflaskeravglass;
126801;engangsflaskeravglass;
127201;engangsflaskeravglass;
127401;engangsflaskeravglass;
127506;biboverellerlik4ltr;
127601;engangsflaskeravglass;
127701;engangsflaskeravglass;
128101;engangsflaskeravglass;
128201;engangsflaskeravglass;
128306;bibunder4ltr;
128501;engangsflaskeravglass;
128602;engangsflaskeravglass;
128702;engangsflaskeravglass;
128901;engangsflaskeravglass;
129101;engangsflaskeravglass;
129201;engangsflaskeravglass;
129301;engangsflaskeravglass;
129401;engangsflaskeravglass;
129501;engangsflaskeravglass;
129601;engangsflaskeravglass;
129701;engangsflaskeravglass;
130001;engangsflaskeravglass;
130101;engangsflaskeravglass;
130205;engangsflaskeravglass;
130301;engangsflaskeravglass;
130401;engangsflaskeravglass;
130601;engangsflaskeravglass;
130901;engangsflaskeravglass;
131507;engangsflaskeravglass;
131601;engangsflaskeravglass;
131701;engangsflaskeravglass;
132501;engangsflaskeravglass;
132601;engangsflaskeravglass;
132701;engangsflaskeravglass;
132801;engangsflaskeravglass;
132901;engangsflaskeravglass;
133201;engangsflaskeravglass;
133301;engangsflaskeravglass;
133601;engangsflaskeravglass;
133701;engangsflaskeravglass;
133901;engangsflaskeravglass;
134202;engangsflaskeravglass;
134301;engangsflaskeravglass;
134502;engangsflaskeravglass;
134602;engangsflaskeravglass;
135801;engangsflaskeravglass;
135901;engangsflaskeravglass;
136801;engangsflaskeravglass;
137201;engangsflaskeravglass;
137202;engangsflaskeravglass;
137205;engangsflaskeravglass;
137801;engangsflaskeravglass;
137901;engangsflaskeravglass;
138001;engangsflaskeravglass;
138801;engangsflaskeravglass;
138901;engangsflaskeravglass;
139301;engangsflaskeravglass;
139302;engangsflaskeravglass;
140201;engangsflaskeravglass;
140601;engangsflaskeravglass;
140701;engangsflaskeravglass;
140805;engangsflaskeravglass;
140901;engangsflaskeravglass;
141102;engangsflaskeravglass;
142305;engangsflaskeravglass;
142406;bibunder4ltr;
142801;engangsflaskeravglass;
142901;engangsflaskeravglass;
143301;engangsflaskeravglass;
143401;engangsflaskeravglass;
143601;engangsflaskeravglass;
143701;engangsflaskeravglass;
143801;engangsflaskeravglass;
143805;engangsflaskeravglass;
144001;engangsflaskeravglass;
144101;engangsflaskeravglass;
144301;engangsflaskeravglass;
144801;engangsflaskeravglass;
144901;engangsflaskeravglass;
145001;engangsflaskeravglass;
145101;engangsflaskeravglass;
145801;engangsflaskeravglass;
146101;engangsflaskeravglass;
146201;engangsflaskeravglass;
146701;engangsflaskeravglass;
146801;engangsflaskeravglass;
146901;engangsflaskeravglass;
147001;engangsflaskeravglass;
147401;engangsflaskeravglass;
147501;engangsflaskeravglass;
147601;engangsflaskeravglass;
148201;engangsflaskeravglass;
148301;engangsflaskeravglass;
148401;engangsflaskeravglass;
148501;engangsflaskeravglass;
148606;bibunder4ltr;
148701;engangsflaskeravglass;
148801;engangsflaskeravglass;
149001;engangsflaskeravglass;
149101;engangsflaskeravglass;
149201;engangsflaskeravglass;
149301;engangsflaskeravglass;
149401;engangsflaskeravglass;
150101;engangsflaskeravglass;
150201;engangsflaskeravglass;
150301;engangsflaskeravglass;
150401;engangsflaskeravglass;
150501;engangsflaskeravglass;
150802;engangsflaskeravglass;
150902;engangsflaskeravglass;
151001;engangsflaskeravglass;
151101;engangsflaskeravglass;
151201;engangsflaskeravglass;
151301;engangsflaskeravglass;
151302;engangsflaskeravglass;
151402;engangsflaskeravglass;
151601;engangsflaskeravglass;
152101;engangsflaskeravglass;
152201;engangsflaskeravglass;
152601;engangsflaskeravglass;
153302;engangsflaskeravglass;
153901;engangsflaskeravglass;
155201;engangsflaskeravglass;
155301;engangsflaskeravglass;
155401;engangsflaskeravglass;
155501;engangsflaskeravglass;
155601;engangsflaskeravglass;
155701;engangsflaskeravglass;
155901;engangsflaskeravglass;
156001;engangsflaskeravglass;
156201;engangsflaskeravglass;
156202;engangsflaskeravglass;
156401;engangsflaskeravglass;
156801;engangsflaskeravglass;
156901;engangsflaskeravglass;
157001;engangsflaskeravglass;
157101;engangsflaskeravglass;
157301;engangsflaskeravglass;
157602;engangsflaskeravglass;
157901;engangsflaskeravglass;
158001;engangsflaskeravglass;
158301;engangsflaskeravglass;
158401;engangsflaskeravglass;
158601;engangsflaskeravglass;
158701;engangsflaskeravglass;
158801;engangsflaskeravglass;
158901;engangsflaskeravglass;
160102;engangsflaskeravglass;
160301;engangsflaskeravglass;
160401;engangsflaskeravglass;
161701;engangsflaskeravglass;
161801;engangsflaskeravglass;
162201;engangsflaskeravglass;
162301;engangsflaskeravglass;
162502;engangsflaskeravglass;
162602;engangsflaskeravglass;
162701;engangsflaskeravglass;
163601;engangsflaskeravglass;
163801;engangsflaskeravglass;
163902;engangsflaskeravglass;
164101;engangsflaskeravglass;
164901;engangsflaskeravglass;
165002;engangsflaskeravglass;
165101;engangsflaskeravglass;
165102;engangsflaskeravglass;
165602;engangsflaskeravglass;
165801;engangsflaskeravglass;
165901;engangsflaskeravglass;
165902;pet;
166001;engangsflaskeravglass;
166301;engangsflaskeravglass;
166401;engangsflaskeravglass;
166601;engangsflaskeravglass;
166701;engangsflaskeravglass;
166801;engangsflaskeravglass;
167107;engangsflaskeravglass;
167201;engangsflaskeravglass;
167502;engangsflaskeravglass;
167602;engangsflaskeravglass;
167901;engangsflaskeravglass;
168001;engangsflaskeravglass;
168102;engangsflaskeravglass;
