volume;
0.70;
0.35;
0.50;
0.75;
0.38;
0.05;
0.20;
3.00;
4.50;
0.10;
1.00;
0.04;
0.25;
1.50;
2.00;
0.19;
6.00;
0.24;
10.00;
0.33;
0.40;
0.62;
0.63;
2.90;
0.28;
0.72;
0.30;
2.25;
1.75;
0.66;
0.55;
0.06;
0.65;
9.00;
0.60;
0.12;
0.99;
0.03;
5.00;
15.00;
0.45;
