productId;name;pricePerLiter;url;
14401;Frangelico;320.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14401;
14501;Johnnie Walker Red Label;499.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14501;
14601;Jack Daniel's Tennessee;557.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14601;
14602;Jack Daniel's Tennessee;639.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14602;
14607;Jack Daniel's Tennessee;540.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14607;
14701;Long John;478.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14701;
15001;Teacher's Highland Cream;464.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15001;
15301;J & B Rare;471.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15301;
15901;Johnnie Walker Black Label;628.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15901;
16101;Chivas Regal 12 Years Old;662.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16101;
16201;Jameson;528.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16201;
16202;Jameson;571.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16202;
16207;Jameson;511.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16207;
16501;Four Roses Bourbon;499.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16501;
16601;Jim Beam Kentucky;499.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16601;
17001;Canadian Club;492.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17001;
17702;Bokma Oude Friesche;490.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17702;
18601;Galliano;471.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18601;
18602;Galliano;514.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18602;
18701;Beefeater London Dry;478.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18701;
18702;Beefeater London Dry;528.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18702;
19001;Gordon's Special London Dry Gin;457.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19001;
19002;Gordon's Special London Dry Gin;542.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19002;
19604;Angostura;949.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19604;
19701;Gammel Dansk Bitter Dram;557.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19701;
19702;Gammel Dansk Bitter Dram;585.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19702;
20001;Jägermeister;542.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20001;
20002;Jägermeister;571.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20002;
20003;Jägermeister;799.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20003;
20901;Cuervo Especial Reposado Tequila;507.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20901;
21601;Martini Rosso;196.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21601;
21602;Martini Rosso;219.80;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21602;
21701;Martini Bianco;196.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21701;
21702;Martini Bianco;219.80;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21702;
23201;Martini Extra Dry;196.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23201;
23801;Curaçao Napoléon Liqueur à l'Orange;428.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23801;
24101;Cointreau;570.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24101;
24102;Cointreau;599.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24102;
24103;Cointreau;960.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24103;
24201;Dubonnet;206.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24201;
24401;D. O. M. Bénédictine;614.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24401;
24601;Grand Marnier Cordon Rouge;571.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24601;
24702;Bols Banana;390.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24702;
25001;Bols Advocaat;264.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25001;
25002;Bols Advocaat;290.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25002;
25101;Warninks Advocaat;271.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25101;
25102;Warninks Advocaat;325.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25102;
25201;Original Peachtree;322.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25201;
25801;Pisang Ambon;321.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25801;
25901;Drambuie;571.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25901;
25902;Drambuie;628.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25902;
25903;Drambuie;957.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25903;
26201;Frost;321.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-26201;
27201;Jose Cuervo Especial Silver;492.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27201;
27401;Pernod, Anis Spirit;492.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27401;
27501;Père Magloire V.S.O.P.;585.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27501;
27601;Robertson's Tawny;215.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27601;
28101;Kopke Fine Ruby;233.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-28101;
28701;Sandeman Fine Tawny;226.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-28701;
29101;Luxardo Sambuca dei Cesari;462.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29101;
29102;Luxardo Sambuca dei Cesari;460.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29102;
29103;Luxardo Sambuca dei Cesari;788.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29103;
29104;Luxardo Sambuca dei Cesari;650.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29104;
29107;Luxardo Sambuca dei Cesari;559.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29107;
29501;Marie Brizard Apry Apricot Brandy;314.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-29501;
35201;Sandeman Rich Golden;193.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-35201;
35301;Sandeman Medium Dry;193.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-35301;
35501;Martini Rosato;196.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-35501;
35601;Harveys Amontillado;226.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-35601;
36001;Tio Pepe Fino;239.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-36001;
36002;Tio Pepe Fino;279.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-36002;
36201;Bristol Cream;239.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-36201;
36202;Bristol Cream;266.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-36202;
37203;Campari Bitter;997.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-37203;
59101;Mouton Cadet Rouge 2012;198.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-59101;
63701;Siglo Saco Crianza 2008/2009;159.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-63701;
65101;Cellier des Dauphins Signature Vieilles Vignes Côte-du-Rhône 2011;166.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-65101;
65102;Cellier des Dauphins Côtes du Rhône Réserve 2012;210.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-65102;
65104;Cellier des Dauphins Côtes du Rhône Réserve 2007;219.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-65104;
66001;Ruffino Chianti 2013;157.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-66001;
66002;Ruffino Chianti 2011;183.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-66002;
67001;Periquita Original 2012/2013;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67001;
67002;Periquita 2012;175.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67002;
67005;Periquita 2010;167.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67005;
67006;Periquita 2012;129.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-67006;
